TRACTCE,GEOID,NAME,centx,centy
100807.00,42017100807.00,1008.07,-74.90,40.18
100808.00,42017100808.00,1008.08,-74.92,40.20
100809.00,42017100809.00,1008.09,-74.89,40.21
21901.00,42043021901.00,219.01,-76.88,40.34
21904.00,42043021904.00,219.04,-76.87,40.32
23601.00,42043023601.00,236.01,-76.76,40.24
24105.00,42043024105.00,241.05,-76.67,40.25
23602.00,42043023602.00,236.02,-76.76,40.20
24104.00,42043024104.00,241.04,-76.71,40.24
21903.00,42043021903.00,219.03,-76.86,40.30
18300.00,42095018300.00,183.00,-75.17,40.92
22605.00,42043022605.00,226.05,-76.79,40.29
210400.00,42079210400.00,2104.00,-75.77,41.33
210600.00,42079210600.00,2106.00,-75.80,41.32
402000.00,42003402000.00,4020.00,-79.74,40.61
211101.00,42079211101.00,2111.01,-75.82,41.33
211203.00,42079211203.00,2112.03,-75.90,41.38
211303.00,42079211303.00,2113.03,-76.04,41.36
423000.00,42003423000.00,4230.00,-79.90,40.49
211400.00,42079211400.00,2114.00,-75.91,41.32
270400.00,42003270400.00,2704.00,-80.03,40.47
270800.00,42003270800.00,2708.00,-80.03,40.49
426700.00,42003426700.00,4267.00,-79.94,40.52
426800.00,42003426800.00,4268.00,-79.95,40.54
271500.00,42003271500.00,2715.00,-80.03,40.47
406000.00,42003406000.00,4060.00,-79.77,40.65
405000.00,42003405000.00,4050.00,-79.80,40.61
429400.00,42003429400.00,4294.00,-80.03,40.53
428100.00,42003428100.00,4281.00,-79.98,40.47
429700.00,42003429700.00,4297.00,-80.03,40.50
430100.00,42003430100.00,4301.00,-80.02,40.51
211600.00,42079211600.00,2116.00,-75.84,41.31
211702.00,42079211702.00,2117.02,-75.79,41.29
211800.00,42079211800.00,2118.00,-75.80,41.26
212000.00,42079212000.00,2120.00,-75.86,41.27
281400.00,42003281400.00,2814.00,-80.05,40.45
281500.00,42003281500.00,2815.00,-80.05,40.44
290200.00,42003290200.00,2902.00,-79.98,40.40
410000.00,42003410000.00,4100.00,-80.08,40.64
413400.00,42003413400.00,4134.00,-80.01,40.56
104901.00,42017104901.00,1049.01,-75.10,40.26
416000.00,42003416000.00,4160.00,-79.79,40.55
300100.00,42003300100.00,3001.00,-79.99,40.41
310300.00,42003310300.00,3103.00,-79.92,40.39
320600.00,42003320600.00,3206.00,-80.01,40.39
212100.00,42079212100.00,2121.00,-75.87,41.28
212200.00,42079212200.00,2122.00,-75.88,41.30
212700.00,42079212700.00,2127.00,-75.89,41.27
212800.00,42079212800.00,2128.00,-75.88,41.27
754300.00,42125754300.00,7543.00,-80.25,40.18
754400.00,42125754400.00,7544.00,-80.26,40.17
754500.00,42125754500.00,7545.00,-80.26,40.18
101405.00,42017101405.00,1014.05,-74.99,40.15
101503.00,42017101503.00,1015.03,-75.04,40.16
101505.00,42017101505.00,1015.05,-75.02,40.17
417200.00,42003417200.00,4172.00,-79.78,40.54
417100.00,42003417100.00,4171.00,-79.78,40.54
754600.00,42125754600.00,7546.00,-80.26,40.19
764000.00,42125764000.00,7640.00,-80.01,40.12
772700.00,42125772700.00,7727.00,-79.95,40.21
773200.00,42125773200.00,7732.00,-79.94,40.20
101506.00,42017101506.00,1015.06,-75.04,40.18
101605.00,42017101605.00,1016.05,-75.09,40.19
101607.00,42017101607.00,1016.07,-75.07,40.18
418000.00,42003418000.00,4180.00,-79.80,40.54
101609.00,42017101609.00,1016.09,-75.09,40.21
211201.00,42079211201.00,2112.01,-75.97,41.33
419000.00,42003419000.00,4190.00,-79.84,40.55
213400.00,42079213400.00,2134.00,-75.93,41.26
261500.00,42003261500.00,2615.00,-80.02,40.47
262000.00,42003262000.00,2620.00,-80.00,40.47
401200.00,42003401200.00,4012.00,-79.73,40.62
401300.00,42003401300.00,4013.00,-79.74,40.62
270300.00,42003270300.00,2703.00,-80.04,40.48
102004.00,42017102004.00,1020.04,-75.20,40.27
102102.00,42017102102.00,1021.02,-75.23,40.36
102500.00,42017102500.00,1025.00,-75.31,40.36
102600.00,42017102600.00,1026.00,-75.32,40.33
102801.00,42017102801.00,1028.01,-75.44,40.42
103101.00,42017103101.00,1031.01,-75.33,40.44
103102.00,42017103102.00,1031.02,-75.34,40.44
103103.00,42017103103.00,1031.03,-75.36,40.44
104100.00,42017104100.00,1041.00,-75.20,40.37
104400.00,42017104400.00,1044.00,-74.96,40.36
104502.00,42017104502.00,1045.02,-75.04,40.30
10300.00,42133010300.00,103.00,-76.71,39.97
563200.00,42003563200.00,5632.00,-80.00,40.45
980000.00,42003980000.00,9800.00,-79.89,40.49
564100.00,42003564100.00,5641.00,-80.09,40.43
409802.00,42045409802.00,4098.02,-75.37,40.05
